text_cleaned,true_label,predicted_label,error_type
рақмет,0,1,false_positive
онша оиналмаиды,1,0,false_negative
өтрк,0,1,false_positive
бұл перне тақтада керемет суреттер мен түрлі смайликтер бар,0,1,false_positive
бұл ойын маған қатты ұнайды күшті ойын,0,1,false_positive
неге пост сох етілмейді,1,0,false_negative
круто круто бирак бир жулдыз хехехк шшс жауап бериндер,0,1,false_positive
өте қызық емес күніге бір істі қайталайды,0,1,false_positive
телефон нөмер ауыстыру үшін осы приложенияға тіркелген анау микрайонға бару керек өзіміз автовокзал жақта тұрамыз бізге алыс осы тұлпар карта сататын точкалардан телефон нөмер ауыстыра алатындай жағдай жасалса анау микрайонға сандалмай сол жағдай қарастырылса карточканы сатып алатын жерге заявления тастай алатындай,1,0,false_negative
1 жұлдызға да түрмаит кино сақталып калмаит шығып кетсең қаитан басынан карау керек ютуп тағы даи жасап коимаистарма,0,1,false_positive
сәлем береді деп атайды және басқа елді мекендермен автомобиль жолы арқылы жүзеге асады мен де бір түрі болып келеді және басқа елді мекендермен автомобиль жолы маған көмектесіп іжберндершы мені ұрлап кеті астана қаласы хан шатырша қамалып отырмын,1,0,false_negative
бәрі жақсы бірақ кейде қатып қалып кейде тақырыпты қате жазады назар аударуларыңызды сұраймын,1,0,false_negative
маған 2гигабайт беріңдерш,0,1,false_positive
қарапайым,0,1,false_positive
соңғы обновлениесінен кейін байқоңыр төретам қаласының уақыты дұрыс болмай кетті азанды кейде шақырады кейде жоқ,1,0,false_negative
кушты маган унады,0,1,false_positive
пабк деген керемет гой ана фре файер деген зайбал шее несы кызык сонынын оданша пабк ойнашиш,1,0,false_negative
анасгин программа зын,0,1,false_positive
сол,0,1,false_positive
өлең қойсаң болды токтата алмай каласың,0,1,false_positive
менде логин бар почтанын неге кирмей жатыр ответ кутемин,1,0,false_negative
мені өлтіре береді және казак тапайсын,0,1,false_positive
істесе екен,0,1,false_positive
менде кіре алмаи жатырмын,1,0,false_negative
мында комет оқып отсам рас 1 ұтып тұрып басқа біреу алып кетеді ол қалай сонда 3 масьтыда аласың бірақ басқа біреуге кетіп қалады фишка 2 кон ауыспайды ешқашан сол карта қайталап шығып отырады хз неге екенін 3 конды көтересің енді аламын деп қолға тамаша карта келгенде тұрып тұрып қатып қалады сеть 4g жап жақсы тартып тұрады бірақ жүре алмайсың аласыңда амалсыз шығып кетесің ойыннан өзің ақ и дальше түк болмағандай істеп тұрады ойын кірсең кіріп тұрады неге олай 4 и дальше ойнағың келмей қалад,1,0,false_negative
өте тамаша ну рекламасы көп и өзінен өзі игра алынып кетет,1,0,false_negative
қызмет сапасы өте жаман бәрі қымбат,0,1,false_positive
карантин кашан ашылат,0,1,false_positive
сәлеметсізба неге қаита обновить етсем дұрыс болмаи тұр көшірілмей жатыр қаита қаита обновить етсем болмаи жатыр,1,0,false_negative
ішінде бірәз машина жоқ panamera audi a5 деген сияқты,0,1,false_positive
бұл приложение интернетсіз ба пж жауап берш,0,1,false_positive
бурын памят аз алатын карапайым прога еди казир мб көбейіп коп орын алады,1,0,false_negative
жанартылмай жатр неге,1,0,false_negative
роблокс маған ұнады бірақ одан маған манита берген жок мен манита табу үшін неше түрлі заттар алдым биракта берген жок егерде сиздер маған манита берсеңіздер мен 5 жұлдыз койамын,0,1,false_positive
күшті күшті екен ғой әдемі,0,1,false_positive
туалетте условия жоқ лас лас кір кір,1,0,false_negative
өте қатты ұанады себебі осынң арқасында математика сабағымды істедім,0,1,false_positive
пернетақта жақсы бірақ жазғанда өзіннін салған суретін ауысып кете береді,1,0,false_negative
жазылған жоқ өте өте өте өте жаман,0,1,false_positive
ұятты жағдаяаттар бар екен,0,1,false_positive
қатып қалыпжатыр тек өсек жазасыңдарма,0,1,false_positive
керемет оиын маган катты унайды,0,1,false_positive
тик ток қасалса 1милион лайк жиналады ішім пыспайды музыка тыңдайсың күшті екен,0,1,false_positive
ассалаумағаликум redmi 6 смартфонында сәжде мүлдем істемейді соны жөндесеңіздер алла разы болсын,0,1,false_positive
паспорт деген жерге не жазамыз,1,0,false_negative
бравл старс маған өте қатты унады сиздерге рахмет айтамыз,0,1,false_positive
68 болып қатып қалды ужас,1,0,false_negative
жаңартулар болғанмен ұсақ түйек бірдемелер сосын қазақша жауап берілмейді,0,1,false_positive
шамалы ұнады бірақ толық емес,1,0,false_negative
менікі алынып жатыр күшті болса көреміз менікі брак планшет,0,1,false_positive
ночной тариф неге жоқ болып кете береді сол тарифке кіріп ол жоқ болып кетсе шығып кетписіңба,1,0,false_negative
кіргізбеит,0,1,false_positive
салеметсіз бе неге телефоннан төлегенде 80 тг алады менде социальная карта кейбіреулерде студенттік карта сонда да 80 т алады,1,0,false_negative
nashar eken,0,1,false_positive
qazaq tili bolģany úşin 5,1,0,false_negative
қанша уақыта келеді сол маңызды сосын толық автобустар жоқ,0,1,false_positive
неге менде компас корсетпейди екен,1,0,false_negative
неге десеңіз ол арың бұл не стеватсың да менсінбесең де бар екен байқадым деп вино ішыіп деп аталады ал сен ше да менсінбесең,0,1,false_positive
бәрі жақсы тек год келмиді неге,0,1,false_positive
оте оте оте керемет фф,0,1,false_positive
алдыңғы сайтқа қарағанда жақсарған,1,0,false_negative
скатчат еткен кезде толып болмайды бірақ маған бұл ойын ұнайды,0,1,false_positive
бұрынғы нұсқасын қайтарыңдаршы,0,1,false_positive
стемидыго епт,0,1,false_positive
маған өте қатты ұнады бірақ тикток ашайын десем ашылмайды,0,1,false_positive
тартылмай жатыр,1,0,false_negative
1 ші күні жақсы жұмыс істеді,0,1,false_positive
өте өте керемет,0,1,false_positive
норм былайша кішкене,0,1,false_positive
кайраттын андерын мен суйып тындаймын жаспен карияга да андеры коп,0,1,false_positive
билмеймин ашпайды,1,0,false_negative
керемет ди алмаим,0,1,false_positive
жаман вашше унамайт,1,0,false_negative
номірді жаса болды,0,1,false_positive
маған қатты ұнаиды ютуб көру,0,1,false_positive
шеңеңнің амына барып кіріп кет æ,1,0,false_negative
құдаяй сол,0,1,false_positive
күшті күшті потом бул барлык жаст агыларга жақсы бірақ бір кемшілігі ойында неге томдар бір нәрсе сурай берет сондыктан 4 коям и бір лемалып алайын десе сурай ьерет сурай берет,1,0,false_negative
нашар десеңда керемет,1,0,false_negative
қызық емес бұл ойын,1,0,false_negative
1 си ол қызықсыз 2 си 1уят оны үлкен адамдар арттан корсе,0,1,false_positive
ас,0,1,false_positive
жаңа әндер жок,0,1,false_positive
баскетболда 10 минут бұл не,1,0,false_negative
endi koremiz,0,1,false_positive
неліктен менде платежи бөлімінде мобильная связь бөлімі шықпайдыбұрын бар еді ғой,1,0,false_negative
айуан түк күшті де емес не нау аба əбə деген тупой,1,0,false_negative
маған өте ұнады бірақ 4 мезгіл жоқ,0,1,false_positive
кушты екен унады,0,1,false_positive
бірнеше рет келдік жалпы айтқанда осында бардак,0,1,false_positive
нормолно сет жок кезде,0,1,false_positive
рахмет жаным меніңибтдрдопол жарплпным ау әр,0,1,false_positive
жақсы ойын мен мясник тамын,0,1,false_positive
сены сыгыем сгс,0,1,false_positive
24 айға техника алайын деп едім ашпайғоды тіркеліңіз деп,1,0,false_negative
несие жабылған туралы анықтаманы онлайн алуға болама,0,1,false_positive
телефон арқылы басқа да справкалар алынбайды,0,1,false_positive
бет белгі істемей тұр көптен бері бассаң шығарып жібереді неден екен жауап жазасыздар ма,1,0,false_negative
ұят емес,1,0,false_negative
дауысы шамалы шығады алуға кеңес бермеймін бірақ тауардың жеткізілуі жылдам екен,0,1,false_positive
жап жаман тук эазыл майды,1,0,false_negative
куішті,0,1,false_positive
жамаг,0,1,false_positive
катып калгано,1,0,false_negative
мен көшірп жатырм көреміз енді,0,1,false_positive
функционалы нашар бағзы замандағы телефондарға арналған сияқты андроидты толыққанды компьютер ретінде қолдану мүмкіндігі ескерілмеген,0,1,false_positive
мә жәйй тартыладыго,0,1,false_positive
анықтама бөліміне қалалық нөмірдің не керегі бар немесе бір мобильді нөмір тіркесе болады ғой,1,0,false_negative
майнкрафтқа жетпейт оданда гуглден шын майнкрафт жазған жақсығо,0,1,false_positive
сондай керемет деп айтпас едим дурыстайтын жерлери оте коп тусиниксиз,0,1,false_positive
өте жақсы ойын маған ұнады,0,1,false_positive
ботский фу түп ой ойын,1,0,false_negative
тартылмаи жатыр,0,1,false_positive
бұл күшті программа,0,1,false_positive
том маған өте ұнайды,0,1,false_positive
кірмей жатыр,1,0,false_negative
мяя осыны шгарган адамды аямаймын,0,1,false_positive
мен сабақ істеу керекпін обновлятетпей сабақ керек только,0,1,false_positive
баска бетке калай ауыстырады,1,0,false_negative
котак бас ам шелек ешак кайф ко нау ойын,1,0,false_negative
комектесындершы темекынын курамында коланылатытын не ол,1,0,false_negative
бул багдарлама андроид 4 0 1 2 3 4 прошивкаларында ашылады ал менин андроид 2 3 6 версиялы соткамда ашпай жатыр неликтен сол ушин орысша курани каримди жуктеуге тура келди,1,0,false_negative
5қа кешіксең акша алады,0,1,false_positive
толыққанды мемлекет құруға тиіспіз деп хабарлайды қр президентінің облыс әкімінің орынбасарлары әкім аппараты облыстық сотының ресми сайты қр үкіметінің ресми сайты облыс әкімінің ресми сайты қр үкіметінің ресми сайты облыс,1,0,false_negative
фонга койылмайды отиниш соны жондениздерши,0,1,false_positive
маган ойын унады,0,1,false_positive
жақсығой іздегеніңнің бәрін табасың бір минусы не видио көріватсаңда реклама шыға беред сол рекламалар азайса супер ғой,1,0,false_negative
оте катты унады лактырынбады,0,1,false_positive
куштті,0,1,false_positive
ойынайын деген ойдамын,0,1,false_positive
амонг ас жаман ойнамаңыздар бір қыз осы ойын үшін бір баланы өлтіріп тастапьты,0,1,false_positive
зделайте нағыз карта ие моды,0,1,false_positive
кайрат нуртас тұр бірақ өзі кайда вәпще жоқ ғой,1,0,false_negative
маған вка сиақтыі қатты ұнамайд,0,1,false_positive
киімге бағалары жоғары екен,0,1,false_positive
өте қызық мен өзіме обой табалмай жүредім кəзір осыны тауып тартып жақсы болды,0,1,false_positive
сакболайык уа калайык бунда кирсен казахстанын акшасы шетелге кетеди бул отандык емес бул шетелдики,0,1,false_positive
томен сапасы жогары реклама,0,1,false_positive
самсадан басқасының барлығы өте төмен сапада болды дәмі де жақсы емес цомян лағман соясыз тіпті жұмыртқаны да қуыра алмайды шәй ап ашы ең арзан шайдың дәмі шығып тұр алдында дәмді болатын сіздерде өкінішті,0,1,false_positive
жұмыртқалар әдемі сапасы жақсы жеткізушіге рахмет уақытында алып келді,0,1,false_positive
үмітімді ақтамады десек те болады,0,1,false_positive
кітап ашпай жатыр,1,0,false_negative
жөнсіз хабарландырулары көп,0,1,false_positive
теріс аударады,0,1,false_positive
мен енди ашам коремиз,0,1,false_positive
өте жақсы керемет маған ұнап қалды,0,1,false_positive
тезлик 6 дан утмади бумиди,0,1,false_positive
интернетінді с гн,0,1,false_positive
мемлекеттік жастар саясатының негізгі бет жаңалықтар е біраз уақыт өткен сайын көбейе түсуде табыс етті ме екен ғой бұл туралы қр білім және ғылым министрлігі қазақстан республикасының мемлекеттік әнұраны жаңалықтарға жазылу жаңаөзен оқиғасы бойынша сот әділ және қауіпсіз әлем үшін белсенділерінің халықаралық форумы өтті статистика және арнайы есепке алу жөніндегі комитеті төрағасының орынбасары құқықтық статистика үшін ақпарат бизнестің жол картасы өнеркәсіп жергілікті инвестициялық,1,0,false_negative
пж ойындағы қабірлерді алып тастаңыздаршы,0,1,false_positive
1 2 айлық балаға келмейді соскасы үлкен және қатты бала сора алмады ыссы суға салып жұмсартуғада келмит,0,1,false_positive
каспий кюар жок блокта тургандар калай отеди шлагбауымнан оте кымбат автотурак каргыс аткыр,0,1,false_positive
бұл прогрмманы қытай ойлап тапқанын ұмытпайық ал қытайды бәріміз білеміз небір зиян нәрселерді ойлап табатының бұл программа 1 дұлдызға тарымайды,0,1,false_positive
өте қызық және керек зат,0,1,false_positive
бейненің мазмұнын субтитр қазақ тіліне аудармайды аудару үшін қазақ тілі әлі қолжетімсіз екен қосып қойыңыздар өтініш,1,0,false_negative
100 керемет,0,1,false_positive
обычно kfc 1сагат жарым кутетин едик казр chocofoodпен 30 35минутта келед,1,0,false_negative
жалынасындар жазып алындар деп іші бардак бірінші комфорт жасандар,0,1,false_positive
өте қызық,0,1,false_positive
машинаны қалай айдап кетеді туфф,0,1,false_positive
сәлеметсіз сіздерде ұлдарға арналған волейбол секциясы бар ма,0,1,false_positive
ишақ,0,1,false_positive
қотақ жаман ойын,1,0,false_negative
егер егемендік,0,1,false_positive
екы значек шыгады жане тусын ак кара жасаныздар баскада ашык тусты,1,0,false_negative
жай кимылдайды,0,1,false_positive
жақсы бірақ қатат,0,1,false_positive
әм содасын қосамыз да шыққан соң ағысы мен арал өңірі сақтарының грек және латын тілдерінде жазылған жоқ алғашқы болыңыз жақсы нәрсеге қол кеңес беру және латын тілдерінде жазылған негізгі ғылыми еңбектері негізінен қазақстанның барлық аймақтарында кездеседі және латын тілдерінде жазылған жоқ алғашқы болыңыз жақсы нәрсеге қол жеткізе алады да шыққан соң ағысы мен арал өңірі сақтарының грек және латын тілдерінде жазылған жоқ алғашқы болыңыз жақсы нәрсеге қол жеткізе алады да шыққан соң ағысы мен,0,1,false_positive
бас әріп функциясы жасамайтұр,0,1,false_positive
интернетпен ойналатын шығар,0,1,false_positive
мен тез тез басылғанын қалаймын сосын өшіп қала бермесін сендер тышқақ тыштақ екен сің,0,1,false_positive
не үшін тек ағылшын тілінде руский немесе қазақтіліне қалай ауысады,1,0,false_negative
ешкым жаза алмайды,0,1,false_positive
жақсы банк,0,1,false_positive
қазспорт арнасы чемпиондар лигасы кезінде тым көп көрермен қарап жатқан сәттерде қарсып қатып қала береді,1,0,false_negative
маған қатты ұнайды керемет ойын,0,1,false_positive
еш себепсіз серіктестікті тоқтатып тастады,0,1,false_positive
мағанда қатты ұнады,0,1,false_positive
неге басылмайды,1,0,false_negative
өтірік нәрсе екен,0,1,false_positive
котакски,0,1,false_positive
кім казак осы ойынды ойнамаңдар,0,1,false_positive
тек wi fi арқылы көрсетеді,0,1,false_positive
абдурахман абдурахим туылған күн және сізбен йемен амансызба және және сізбен мен,0,1,false_positive
күшті өте өте өте жақсы көрем,0,1,false_positive
тез жазыла,1,0,false_negative
кереметт бірақ миды ашыттыып жиберет,0,1,false_positive
likee тан көрі тікток күшті,0,1,false_positive
штраф по бин толейін десек бүкіл машина шығып алып жатыр номири корсетилмейди екен соны жондесениздер дурыс болар еди гос организация автолары әркім өз штрафын өзі төлейді бізде сол үшін авто номерін көрсет екен дейміз,1,0,false_negative
шешешең амысігейн жазылмпйдығой мынау аймшешеңнің амы адам сияқты қой бағайындесей фри фаер ойнап ал сен қотақпастар жазфлдырмайтын еунді қойып,1,0,false_negative
өте жақсы класна,0,1,false_positive
қосылу қинрақ ккен керметі,1,0,false_negative
болашақта кез келген аумақтық саманаопьбдщнвкыіеушүкңзщұлл,0,1,false_positive
бұл қосымша шығарғандар тек жақсы баға бергендерге ғана жауап береді екен қарап отырсам сондықтан жүктеуге де желание болмай қалады,0,1,false_positive
врдра алайда сол себепті де уилендим мен сени апарғанымды деп жатыр мыс қорыту 5врдра алайда сол себепті де уилендим мен сени апарғанымды деп жатыр мыс қорыту 5врдра алайда сол себепті де уилендим мен сени апарғанымды деп жатыр мыс қорыту,0,1,false_positive
отте жаманн,0,1,false_positive
